ID OMM station;Date;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
07558;2010-01-05T10:00:00+01:00;260;1.5;44.1185,3.0195            
61976;2010-01-05T10:00:00+01:00;;;-15.887667,54.520667            
07027;2010-01-05T13:00:00+01:00;200;3.6;49.18,-0.456167            
07110;2010-01-05T13:00:00+01:00;210;4.1;48.444167,-4.412            
07591;2010-01-05T13:00:00+01:00;;;44.565667,6.502333            
71805;2010-01-05T13:00:00+01:00;210;9.8;46.766333,-56.179167            
78925;2010-01-05T13:00:00+01:00;30;0.5;14.595333,-60.995667            
07015;2010-01-05T16:00:00+01:00;190;1.5;50.57,3.0975            
07149;2010-01-05T16:00:00+01:00;10;2.6;48.716833,2.384333            
81408;2010-01-05T16:00:00+01:00;80;4.1;3.890667,-51.804667            
89642;2010-01-05T16:00:00+01:00;120;4.1;-66.663167,140.001            
07020;2010-01-05T19:00:00+01:00;200;11.8;49.725167,-1.939833            
07761;2010-01-05T19:00:00+01:00;60;1.5;41.918,8.792667            
81405;2010-01-05T19:00:00+01:00;100;6.2;4.822333,-52.365333            
07168;2010-01-05T22:00:00+01:00;320;2.1;48.324667,4.02            
07607;2010-01-05T22:00:00+01:00;0;0.0;43.909833,-0.500167            
07650;2010-01-05T22:00:00+01:00;350;2.1;43.437667,5.216            
71805;2010-01-05T22:00:00+01:00;230;7.2;46.766333,-56.179167            
07149;2010-01-06T01:00:00+01:00;230;1.0;48.716833,2.384333            
61972;2010-01-06T01:00:00+01:00;150;5.1;-22.344167,40.340667            
07280;2010-01-06T04:00:00+01:00;180;2.1;47.267833,5.088333            
07434;2010-01-06T04:00:00+01:00;220;3.6;45.861167,1.175            
61976;2010-01-06T04:00:00+01:00;;;-15.887667,54.520667            
07020;2010-01-06T07:00:00+01:00;10;6.7;49.725167,-1.939833            
07117;2010-01-06T07:00:00+01:00;310;6.2;48.825833,-3.473167            
07168;2010-01-06T07:00:00+01:00;0;0.0;48.324667,4.02            
07690;2010-01-06T07:00:00+01:00;330;4.6;43.648833,7.209            
61970;2010-01-06T07:00:00+01:00;170;2.1;-17.054667,42.712            
71805;2010-01-06T07:00:00+01:00;210;7.2;46.766333,-56.179167            
07168;2010-01-06T10:00:00+01:00;160;1.0;48.324667,4.02            
07181;2010-01-06T10:00:00+01:00;260;1.0;48.581,5.959833            
07222;2010-01-07T13:00:00+01:00;10;3.1;47.15,-1.608833            
07335;2010-01-07T13:00:00+01:00;340;3.6;46.593833,0.314333            
07222;2010-01-07T16:00:00+01:00;20;5.1;47.15,-1.608833            
07650;2010-01-07T16:00:00+01:00;40;3.1;43.437667,5.216            
61972;2010-01-07T19:00:00+01:00;160;8.2;-22.344167,40.340667            
07015;2010-01-07T22:00:00+01:00;80;1.0;50.57,3.0975            
07280;2010-01-07T22:00:00+01:00;360;2.6;47.267833,5.088333            
81405;2010-01-07T22:00:00+01:00;70;2.1;4.822333,-52.365333            
07020;2010-01-08T01:00:00+01:00;20;10.3;49.725167,-1.939833            
07207;2010-01-08T01:00:00+01:00;30;2.6;47.294333,-3.218333            
07621;2010-01-08T01:00:00+01:00;30;2.6;43.188,0.0            
07747;2010-01-08T01:00:00+01:00;310;5.7;42.737167,2.872833            
07434;2010-01-08T04:00:00+01:00;40;5.1;45.861167,1.175            
61998;2010-01-08T04:00:00+01:00;240;2.1;-49.352333,70.243333            
07314;2010-01-08T07:00:00+01:00;10;8.7;46.046833,-1.4115            
07015;2010-01-08T13:00:00+01:00;60;7.2;50.57,3.0975            
07110;2010-01-06T13:00:00+01:00;350;7.7;48.444167,-4.412            
07168;2010-01-06T16:00:00+01:00;150;2.1;48.324667,4.02            
07222;2010-01-06T16:00:00+01:00;210;4.1;47.15,-1.608833            
07630;2010-01-06T16:00:00+01:00;300;4.1;43.621,1.378833            
07015;2010-01-06T19:00:00+01:00;160;1.5;50.57,3.0975            
07481;2010-01-06T19:00:00+01:00;160;1.5;45.7265,5.077833            
07627;2010-01-06T22:00:00+01:00;160;2.6;43.005333,1.106833            
07510;2010-01-07T01:00:00+01:00;180;3.6;44.830667,-0.691333            
78925;2010-01-07T01:00:00+01:00;40;2.1;14.595333,-60.995667            
81408;2010-01-07T01:00:00+01:00;330;1.0;3.890667,-51.804667            
78925;2010-01-07T04:00:00+01:00;20;0.5;14.595333,-60.995667            
07434;2010-01-07T07:00:00+01:00;220;4.1;45.861167,1.175            
07690;2010-01-07T07:00:00+01:00;320;6.2;43.648833,7.209            
07015;2010-01-04T07:00:00+01:00;260;0.5;50.57,3.0975            
07020;2010-01-04T07:00:00+01:00;120;4.6;49.725167,-1.939833            
07335;2010-01-04T07:00:00+01:00;40;4.6;46.593833,0.314333            
